,Ahmedabad_AQI,Aizawl_AQI,Amaravati_AQI,Amritsar_AQI,Bengaluru_AQI,Bhopal_AQI,Brajrajnagar_AQI,Chandigarh_AQI,Chennai_AQI,Coimbatore_AQI,Delhi_AQI,Ernakulam_AQI,Gurugram_AQI,Guwahati_AQI,Hyderabad_AQI,Jaipur_AQI,Jorapokhar_AQI,Kochi_AQI,Kolkata_AQI,Lucknow_AQI,Mumbai_AQI,Patna_AQI,Shillong_AQI,Talcher_AQI,Thiruvananthapuram_AQI,Visakhapatnam_AQI,India_AQI
2016-06-01,260.3333333333333,,,,70.07142857142857,,,,94.88235294117646,,243.73333333333332,,182.94444444444446,,139.03333333333333,,,,,152.64,,150.57142857142858,,,,,161.77620681605976
2016-07-01,359.75,,,,90.08,,,,93.03333333333333,,164.96666666666667,,82.5,,156.2258064516129,,,,,117.14814814814815,,116.70833333333333,,,,99.77272727272727,142.2427794673135
2016-08-01,320.2068965517241,,,,64.54166666666667,,,,134.74193548387098,,147.41935483870967,,91.22727272727273,,126.83333333333333,,,,,96.44,,125.25806451612904,,,,88.87096774193549,132.83772131773802
2016-09-01,229.92592592592592,,,,72.33333333333333,,,,184.93333333333334,,218.7,,104.875,,72.91304347826087,,,,,105.7,,145.5,,,,92.92857142857143,136.42324527771385
2016-10-01,326.4,,,,116.61290322580645,,,,150.5,,411.06451612903226,,186.76,,93.62068965517241,,,,,245.03225806451613,,275.48148148148147,,,,109.5,212.77464983955653
2016-11-01,397.0,,,,110.7,,,,140.93333333333334,,474.8333333333333,,347.3448275862069,,125.16666666666667,,,,,385.6333333333333,,398.48275862068965,,,,115.1,277.24380587484035
2016-12-01,,,,,115.38709677419355,,,,116.71428571428571,,409.2903225806452,,378.9642857142857,,112.45161290322581,,,,,389.3225806451613,,404.2413793103448,,,,117.06666666666666,255.42977878860108
2017-01-01,,,,,114.61290322580645,,,,124.41935483870968,,354.19354838709677,,386.9259259259259,,149.41935483870967,,,,,330.5806451612903,,358.48275862068965,,,,139.5483870967742,244.7728597618753
2017-02-01,,,,52.0,119.17857142857143,,,,120.35714285714286,,343.92857142857144,,315.4,,150.74074074074073,,,,,296.39285714285717,,353.3333333333333,,,,174.14285714285714,213.94156378600826
2017-03-01,,,,89.93548387096774,81.19354838709677,,,,110.64516129032258,,282.258064516129,,219.07142857142858,,135.0,,,,,247.06451612903226,,265.625,,,,122.25,172.56035586277522
2017-04-01,,,,62.833333333333336,92.0,,,,105.6,,316.8,,315.56666666666666,,148.16666666666666,,156.6,,,249.5,,252.66666666666666,,,,127.6,182.7333333333333
2017-05-01,,,,119.23333333333333,66.96774193548387,,,,121.58064516129032,,315.4193548387097,,348.7826086956522,,113.19354838709677,,117.73333333333333,,,252.2258064516129,,,,,,,181.89204651706405
2017-06-01,,,,92.71428571428571,59.7,,,,80.75862068965517,,144.75862068965517,,334.4642857142857,,74.13333333333334,82.9090909090909,117.25,,,178.25925925925927,,,,,43.75,,120.86974963095653
2017-07-01,,,,99.03846153846153,94.56666666666666,,,,102.0,,67.16129032258064,,291.5652173913044,,61.58064516129032,84.0,40.8,,,77.29032258064517,,,,,49.25,,96.72526036609487
